run_id,policy_size,policy,len_c0,len_c1,len_c2,len_c3,len_c0_encoded,len_c1_encoded,len_c2_encoded,len_c3_encoded
24,1,úIrJPõVyigÕÚ_õUoÁhzÇxÇÃLH,124,124,124,124,168,168,168,168
8,1,uÃgs1,124,124,124,124,168,168,168,168
4,1,xzÛÕ_SExá4û4t,124,124,124,124,168,168,168,168
40,1,ÛcJHapF_xmMú,124,124,124,124,168,168,168,168
47,1,âw38g1ZLOfI8ÕoRCBgbStBSQ5ÛwX,124,124,124,124,168,168,168,168
27,1,tATbc,124,124,124,124,168,168,168,168
26,1,ûyyãÛ_ç,124,124,124,124,168,168,168,168
20,1,Kwr54U3KÛdLUNFÉS,124,124,124,124,168,168,168,168
2,1,GgÇÛÇsûzGXRÁGO4zú4DR,124,124,124,124,168,168,168,168
34,1,YepyYYWyáKLkâraBfTmUÚáZmQB,124,124,124,124,168,168,168,168
30,1,DçSKZ6it3H2ÊCyElymaLúÚfo,124,124,124,124,168,168,168,168
38,1,EjmoTÇgeÂBÕ8_6suÉ5_,124,124,124,124,168,168,168,168
9,1,húÂmPeCDá2êK8GÛúAûaHr,124,124,124,124,168,168,168,168
17,1,çúLIfmn1_BMWEH,124,124,124,124,168,168,168,168
46,1,ZÃJ5Huj,124,124,124,124,168,168,168,168
1,1,x_FGrAdtv5,124,124,124,124,168,168,168,168
3,1,i8xLLkiQêyÊhpL,124,124,124,124,168,168,168,168
7,1,3âLÊQ0L72ÁpâNYNR,124,124,124,124,168,168,168,168
11,1,qBásmQMXAÊvÇç2EUá00wHÁorq,124,124,124,124,168,168,168,168
25,1,6iROEV7iIoKrûúZTTOtet6ûNÃFM,124,124,124,124,168,168,168,168
6,1,fCHçV6ç0lzQyMûIgûbJ0uAÛE_Lá2â,124,124,124,124,168,168,168,168
43,1,IévX5võ,124,124,124,124,168,168,168,168
45,1,qfBâÂúÊ2P,124,124,124,124,168,168,168,168
22,1,RM3ÁocÇêeúuqá,124,124,124,124,168,168,168,168
29,1,vtáUÇyz8iõLLpVrAKwniEEx10jKõ,124,124,124,124,168,168,168,168
33,1,c3r7H5U8KmYVÕÚyTX,124,124,124,124,168,168,168,168
44,1,JBBYEÚÂU0ÇRay32V,124,124,124,124,168,168,168,168
21,1,kk_UzQÁbR_õunt4fZeSûm8âBã,124,124,124,124,168,168,168,168
12,1,é0ncG7XO3zQWwZX6qaáHyuáhGHqM,124,124,124,124,168,168,168,168
23,1,aúOçOOûçoçaÚkhwÇÛo,124,124,124,124,168,168,168,168
31,1,pIaz4M3IsbW3,124,124,124,124,168,168,168,168
13,1,sV_SOE7ÁÁlõc0ÃúTPHwP,124,124,124,124,168,168,168,168
5,1,ÕwVkkkuI216Qdp20éUÚCçCLn4,124,124,124,124,168,168,168,168
35,1,6õRÊO6skaY0UçharRJuUÇhõê,124,124,124,124,168,168,168,168
41,1,86JÉ02GÚpC,124,124,124,124,168,168,168,168
36,1,nVZIvUÁ74BÛÉãÉ4lÁÊe,124,124,124,124,168,168,168,168
10,1,NcOt5yÚC5Û9ZlgBqCTa7Tgxdéê,124,124,124,124,168,168,168,168
28,1,ksjOá3éxPgÊ,124,124,124,124,168,168,168,168
49,1,m0CHnã8kh,124,124,124,124,168,168,168,168
16,1,D_KãÃoy,124,124,124,124,168,168,168,168
19,1,8xûqM150V,124,124,124,124,168,168,168,168
48,1,âwJúÁDÊÕãúkÊSCxáls,124,124,124,124,168,168,168,168
42,1,hVgidym4_úÕSÚ4ú6,124,124,124,124,168,168,168,168
37,1,3CHTnRlp,124,124,124,124,168,168,168,168
14,1,azNÚ1QsRRlK8JDê,124,124,124,124,168,168,168,168
0,1,éTxoJ3Õfá5OâãSwQ,124,124,124,124,168,168,168,168
18,1,5aVAVX_up5Ú6Dh4P60ÁfFMP,124,124,124,124,168,168,168,168
32,1,ÉahqPjâÊjvyá8ÇÚMeXS2Xn,124,124,124,124,168,168,168,168
15,1,Á7NuûYvnNpSDwoSfrÂáKTt,124,124,124,124,168,168,168,168
39,1,ÇI2ArYéNÃb014fãb9f9zç6ÕTK5L1,124,124,124,124,168,168,168,168
54,1,ÚxÛWKÃ6qej5EmocOMd7Q5iT,124,124,124,124,168,168,168,168
71,1,yÊtÁGJKDámáQuû,124,124,124,124,168,168,168,168
53,1,Eã2D2X9TvQOAÊ1yRYjÂJ,124,124,124,124,168,168,168,168
80,1,xêTHp97NbnrI,124,124,124,124,168,168,168,168
55,1,seeÊJr88rbrptGeTkâIH,124,124,124,124,168,168,168,168
76,1,AtvzTH76fZaxDtéT,124,124,124,124,168,168,168,168
52,1,ççAiûúHjZlg4CÂãqdPRlyfZuJÇVQD,124,124,124,124,168,168,168,168
66,1,IêRLUQKhbõTDhâYsyÚ6é,124,124,124,124,168,168,168,168
73,1,BpFdSÃZOâeUhlÛçJk1féb16AAyOêD,124,124,124,124,168,168,168,168
78,1,GÚÛ0aXPi_4TiVwKaKk,124,124,124,124,168,168,168,168
61,1,nççÚéVpÁByZtkpVyÇia8nÚlAÚç,124,124,124,124,168,168,168,168
72,1,jfyõÊÕCÇÂYx,124,124,124,124,168,168,168,168
60,1,GÃZImIN9Kkh1Éw2TeÁ_iZ,124,124,124,124,168,168,168,168
82,1,JglIO02rrÇC4xlfiUêHk9DÛGÂjuSs,124,124,124,124,168,168,168,168
88,1,áDqcâp,124,124,124,124,168,168,168,168
64,1,tÂvRHûGVPÉOQWEEUvsRê7J9pchsx,124,124,124,124,168,168,168,168
90,1,zNb1YbbãO,124,124,124,124,168,168,168,168
74,1,U24úK6âIbÁdõQÇSdQwY,124,124,124,124,168,168,168,168
67,1,HPÚgbde5KMÕGLCTÊZrsIûDD,124,124,124,124,168,168,168,168
62,1,VjkÚv,124,124,124,124,168,168,168,168
77,1,N2yÁ4Yd3v0ÉJ62NQUEE8y9Vê,124,124,124,124,168,168,168,168
93,1,SwÊOuçQ8GlYwYr,124,124,124,124,168,168,168,168
59,1,uÚuBTõE0hJâÊy,124,124,124,124,168,168,168,168
79,1,rTÛIuvYt8ÂxF7P_WUvxÃsB,124,124,124,124,168,168,168,168
85,1,56oQWN2KâlérT53v,124,124,124,124,168,168,168,168
51,1,XcaTZYPIK7uyWnZçD,124,124,124,124,168,168,168,168
94,1,vgDHewLFÉyCq70,124,124,124,124,168,168,168,168
81,1,kzõLzmé9YÂÃely1Û,124,124,124,124,168,168,168,168
97,1,YOúãwg4NtÊ,124,124,124,124,168,168,168,168
65,1,tdlÁÂÁElfD5afKzk,124,124,124,124,168,168,168,168
69,1,a1úw74_PgF,124,124,124,124,168,168,168,168
91,1,JÕÇâDuSÕ9NVD7PbHÁHçÃe,124,124,124,124,168,168,168,168
58,1,78nâfÊÛ4ârh2WmV2B,124,124,124,124,168,168,168,168
68,1,ÚYzdiáet3i0,124,124,124,124,168,168,168,168
56,1,fÊ2çNJ2xÕ6DTZ46oBDûã,124,124,124,124,168,168,168,168
50,1,QH_Ga1,124,124,124,124,168,168,168,168
86,1,Oéq46útADÊÁUuF7ã,124,124,124,124,168,168,168,168
57,1,ÕLÃ11átJAZC9ZÇãxbFEdlApR1YX0tj,124,124,124,124,168,168,168,168
99,1,EYxe8,124,124,124,124,168,168,168,168
92,1,kQÚÚâUzU,124,124,124,124,168,168,168,168
70,1,lIéo44fqP,124,124,124,124,168,168,168,168
63,1,ZG14ÕWé5S8ÕúBoSUjã,124,124,124,124,168,168,168,168
95,1,éÃãÚzEcÕd08Çgk,124,124,124,124,168,168,168,168
84,1,crUB2élrwE,124,124,124,124,168,168,168,168
87,1,DEÃ53û3QÕ1,124,124,124,124,168,168,168,168
98,1,ÚNHEP0ÇVn_bI,124,124,124,124,168,168,168,168
75,1,5t_zYomrÃzO,124,124,124,124,168,168,168,168
